,carat,cut,color,clarity,depth,table,x,y,z,clarity_num,color_num,cut_num,carat_log,price_predicted
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,2.0,2.0,4.0,0.009950330853168092,4463.928202274121
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,1.0,6.0,2.0,-1.1086626245216111,569.1312023153788
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,3.0,4.0,5.0,0.19885085874516517,6808.4012547913535
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,3.0,6.0,5.0,-1.171182981502945,609.6036657690262
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,1.0,3.0,4.0,0.06765864847381486,4518.881247225873
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,6.0,5.0,3.0,0.009950330853168092,6383.1719954134915
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,7.0,4.0,3.0,-1.4696759700589417,515.2723544556553
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,3.0,6.0,3.0,-1.0498221244986778,754.8865512429046
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,6.0,4.0,5.0,-0.5978370007556204,2188.335877903007
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,1.0,3.0,5.0,-0.10536051565782628,3331.8171414239373
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,5.0,3.0,5.0,-0.3285040669720361,3215.94374187545
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,1.0,5.0,3.0,-0.18632957819149348,2888.9794576521263
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,1.0,2.0,5.0,0.03922071315328133,4298.110074958298
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,4.0,5.0,3.0,-0.342490308946776,2869.3262448799096
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,1.0,4.0,5.0,-0.843970070294529,907.1666369547139
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,4.0,5.0,5.0,-1.1086626245216111,744.2209745098921
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,2.0,6.0,1.0,0.5423242908253617,11401.259965319246
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,1.0,3.0,5.0,0.12221763272424911,4974.683242905762
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1.0,6.0,5.0,-0.6539264674066639,1267.8257334744048
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,3.0,3.0,3.0,-1.2039728043259361,575.3938686870692
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,3.0,3.0,4.0,0.4252677354043441,10144.744442976351
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,2.0,2.0,1.0,0.7030975114131134,15133.353325701555
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,3.0,2.0,4.0,-1.1086626245216111,680.5688529059781
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,0.0,3.0,3.0,-0.35667494393873245,1957.0870798920241
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,1.0,1.0,4.0,0.23111172096338664,6026.472589966219
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,4.0,6.0,4.0,-1.2039728043259361,629.2092032317363
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,3.0,2.0,3.0,-0.527632742082372,1893.767748503427
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,1.0,5.0,5.0,-0.19845093872383832,2827.953771926864
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,6.0,3.0,3.0,-0.941608539858445,1194.3961756307028
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,7.0,2.0,5.0,-1.171182981502945,871.6997387314392
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,2.0,1.0,5.0,0.23111172096338664,6590.115437418381
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,2.0,4.0,3.0,0.412109650826833,9064.54672847052
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,3.0,3.0,5.0,-0.579818495252942,1727.4584013414126
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,5.0,3.0,5.0,-1.171182981502945,728.9659499459414
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,6.0,2.0,5.0,-0.579818495252942,2258.900530565527
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,2.0,5.0,4.0,-0.040821994520255166,4082.0589687059805
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1.0,5.0,3.0,-0.6539264674066639,1267.8257334744048
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,1.0,2.0,3.0,0.01980262729617973,4153.59174758153
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,3.0,1.0,2.0,0.058268908123975824,5315.05774056667
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,1.0,2.0,5.0,0.1906203596086497,5611.637500189538
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,4.0,2.0,1.0,0.7030975114131134,18096.510737055516
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,4.0,3.0,5.0,0.41871033485818504,10966.16840744068
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,2.0,1.0,3.0,0.7080357930536959,15265.557698060791
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,6.0,4.0,2.0,-1.2729656758128873,666.3143037437787
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,3.0,3.0,1.0,-0.35667494393873245,2559.173083240747
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,5.0,3.0,5.0,-0.35667494393873245,3060.267092303728
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,0.0,2.0,1.0,0.8415671856782185,16150.905812390374
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,4.0,0.0,5.0,-0.5447271754416722,2009.46426884007
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,3.0,6.0,5.0,-0.616186139423817,1620.2738731263514
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,1.0,1.0,3.0,0.1823215567939546,5530.208418538353
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,4.0,4.0,3.0,-0.6539264674066639,1657.864652362153
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,2.0,4.0,4.0,0.45107561936021673,9708.515552533145
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,0.0,1.0,4.0,-0.35667494393873245,1957.0870798920241
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,1.0,2.0,3.0,0.45107561936021673,8878.160545473187
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,4.0,6.0,3.0,0.01980262729617973,5431.419127128468
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,4.0,4.0,4.0,0.4054651081081644,10713.295147225195
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3.0,5.0,3.0,-0.35667494393873245,2559.173083240747
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,1.0,4.0,4.0,-0.8675005677047231,870.337275543828
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,1.0,2.0,4.0,0.6981347220709843,13718.577632115315
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,3.0,3.0,4.0,-1.171182981502945,609.6036657690262
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,6.0,5.0,5.0,-0.8209805520698302,1477.1408866387972
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,6.0,6.0,5.0,-0.35667494393873245,3346.4872040059076
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,1.0,0.0,4.0,0.1823215567939546,5530.208418538353
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,3.0,3.0,5.0,0.04879016416943204,5227.057644700866
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,0.0,4.0,5.0,-0.35667494393873245,1957.0870798920241
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1.0,4.0,4.0,-0.6348782724359695,1311.0834729176852
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,2.0,2.0,4.0,0.08617769624105241,5105.364779511849
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,2.0,5.0,4.0,-0.08338160893905101,3787.246753290826
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,4.0,4.0,4.0,-0.342490308946776,2869.3262448799096
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,2.0,4.0,2.0,-0.5621189181535413,1629.7347513507846
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,4.0,3.0,3.0,-0.342490308946776,2869.3262448799096
